symbol,symbol_clean,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rank,rs_h,vol_h,perf_h,rs_up,rs_bars,rank_status,rank_diff,rank_delta
AMGN,AMGN,417.2,0.0,343.04,22.65,-0.0444,38.63,51,173,"[77, 78, 46, 49, 51]","[27.03, 28.27, 22.09, 22.65, 22.65]","[46.49, 48.68, 37.67, 38.63, 38.63]",False,"[11.2, 11.4, 7.5, 7.9, 8.1]",down,-152,-152.0
COR,COR,325.0,12.93,307.21,23.28,-0.0445,38.61,51,174,[51],[23.28],[38.61],False,[8.1],new,0,
PKG,PKG,254.75,0.5,220.3,22.47,-0.0462,38.37,51,175,[51],[22.47],[38.37],False,[8.1],new,0,
DLTR,DLTR,129.37,8.38,112.04,13.11,-0.0503,37.77,51,176,[51],[13.11],[37.77],False,[8.1],new,0,
GWW,GWW,1297.45,7.28,1184.88,24.9,-0.0523,37.48,50,177,[50],[24.9],[37.48],False,[8.0],new,0,
HIG,HIG,141.15,3.11,133.71,27.55,-0.06,36.37,50,178,[50],[27.55],[36.37],False,[8.0],new,0,
TFC,TFC,51.86,5.15,48.29,20.88,-0.0604,36.3,50,179,[50],[20.88],[36.3],False,[8.0],new,0,
DLR,DLR,191.3,5.56,178.46,21.11,-0.0606,36.28,49,180,[49],[21.11],[36.28],False,[7.9],new,0,
NDSN,NDSN,308.69,0.64,271.71,22.58,-0.0617,36.12,49,181,[49],[22.58],[36.12],False,[7.9],new,0,
KO,KO,86.87,2.48,77.09,31.01,-0.0703,34.87,49,182,[49],[31.01],[34.87],False,[7.9],new,0,
D,D,67.15,6.33,63.52,25.0,-0.0741,34.32,49,183,[49],[25.0],[34.32],False,[7.9],new,0,
CBRE,CBRE,143.94,16.12,143.38,17.17,-0.0802,33.44,48,184,[48],[17.17],[33.44],False,[7.8],new,0,
EQIX,EQIX,1043.38,6.5,966.11,20.46,-0.0834,32.97,48,185,[48],[20.46],[32.97],False,[7.8],new,0,
CB,CB,348.3,4.18,322.02,25.93,-0.0869,32.46,48,186,[48],[25.93],[32.46],False,[7.8],new,0,
VZ,VZ,47.03,5.51,44.05,21.94,-0.0881,32.29,47,187,[47],[21.94],[32.29],False,[7.6],new,0,
APO,APO,132.02,12.82,126.36,12.83,-0.0905,31.94,47,188,"[5, 7, 41, 46, 47]","[-4.79, -3.65, 12.28, 12.83, 12.83]","[-10.85, -8.24, 30.55, 31.94, 31.94]",True,"[2.6, 2.8, 6.9, 7.5, 7.6]",down,-166,-166.0
