symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_diff,rank_status
AEGISLOG,Oil Gas & Consumable Fuels,1270.4,0.770568262910051,82.21,91.19,92,"[93, 94, 95, 92, 92]",False,23,1,up
HONASA,Fast Moving Consumer Goods,452.1,0.7300451586865304,32.74,67.23,91,"[90, 89, 90, 90, 91]",False,24,5,up
GVT&D,Capital Goods,4124.0,0.7506681493114042,-7.66,51.01,91,"[96, 95, 90, 91, 91]",False,25,1,up
DATAPATTNS,Capital Goods,4381.7,0.7409001202142826,7.58,91.14,91,"[88, 91, 90, 93, 91]",False,26,-6,down
SHRIRAMFIN,Financial Services,1040.9,0.690770377181124,11.68,4.57,90,"[90, 90, 89, 89, 90]",False,27,5,up
CHENNPETRO,Oil Gas & Consumable Fuels,1180.5,0.6908688047437865,4.62,41.79,90,"[91, 91, 89, 89, 90]",False,28,2,up
KARURVYSYA,Financial Services,338.4,0.6179635862812849,16.19,16.57,89,"[87, 86, 86, 87, 89]",False,29,8,up
POWERINDIA,Capital Goods,31130.0,0.6774945668375212,-7.21,86.31,89,"[91, 89, 88, 90, 89]",False,30,-2,down
RADICO,Fast Moving Consumer Goods,4289.7,0.6326668390499106,25.59,47.03,89,"[85, 86, 85, 85, 89]",False,31,10,up
NYKAA,Consumer Services,329.6,0.6071039274988683,24.49,39.37,88,"[86, 84, 85, 87, 88]",False,32,3,up
SAILIFE,Healthcare,1300.5,0.6057883884331772,21.6,58.55,88,"[89, 87, 84, 86, 88]",False,33,5,up
CUB,Financial Services,238.14,0.5939439869850682,17.56,11.7,88,"[83, 79, 80, 81, 88]",False,34,19,up
CUMMINSIND,Capital Goods,5455.5,0.5938197390633071,4.45,40.67,87,"[88, 88, 88, 88, 87]",False,35,-2,down
APARINDS,Capital Goods,13480.0,0.5930761005936722,9.32,87.0,87,"[85, 85, 86, 88, 87]",False,36,-2,down
ANANDRATHI,Financial Services,2037.9,0.5759601312187064,13.39,40.79,86,"[89, 88, 87, 86, 86]",False,37,3,up
LTF,Financial Services,311.0,0.583714012028979,12.32,10.15,86,"[84, 83, 82, 86, 86]",False,38,1,up
HSCL,Chemicals,749.65,0.5884954475068074,23.52,67.47,86,"[88, 85, 87, 89, 86]",False,39,-8,down
SONACOMS,Automobile and Auto Components,713.0,0.5691456034766067,17.76,47.07,85,"[86, 87, 84, 85, 85]",False,40,3,up
ABCAPITAL,Financial Services,391.35,0.5704477764773277,13.27,12.17,85,"[86, 85, 82, 87, 85]",False,41,-5,down
M&MFIN,Financial Services,373.5,0.5616221595465256,22.92,4.89,85,"[75, 82, 79, 83, 85]",False,42,6,up
GESHIP,Services,1377.4,0.545497567351029,-12.05,25.01,84,"[83, 84, 86, 85, 84]",False,43,-1,down
SCHNEIDER,Capital Goods,1332.7,0.5224913099363617,7.16,110.5,84,"[84, 81, 83, 84, 84]",False,44,0,stable
NAVINFLUOR,Chemicals,7512.5,0.5038479628632937,10.27,28.12,83,"[89, 87, 84, 84, 83]",False,45,0,stable
CRAFTSMAN,Automobile and Auto Components,9290.0,0.5197366963252963,20.99,29.21,83,"[81, 80, 83, 83, 83]",False,46,1,up
NAM-INDIA,Financial Services,1150.3,0.5090584013228061,15.14,45.55,83,"[77, 76, 76, 83, 83]",False,47,-1,down
MOTHERSON,Automobile and Auto Components,147.86,0.4865318313657552,22.2,35.48,82,"[82, 84, 81, 82, 82]",False,48,1,up
EICHERMOT,Automobile and Auto Components,7836.0,0.5019295788714326,10.23,9.37,82,"[79, 79, 80, 81, 82]",False,49,3,up
MAHABANK,Financial Services,80.2,0.48271031613129733,3.9,25.23,82,"[85, 81, 82, 82, 82]",False,50,0,stable
AUBANK,Financial Services,1047.7,0.4686161776288782,3.13,8.73,81,"[74, 75, 74, 80, 81]",False,51,3,up
RBLBANK,Financial Services,364.9,0.4742328442158614,8.42,23.55,81,"[80, 77, 77, 79, 81]",False,52,7,up
AIAENG,Capital Goods,4603.0,0.4645812236852609,16.54,23.41,80,"[79, 76, 78, 80, 80]",False,53,2,up
GABRIEL,Automobile and Auto Components,1407.8,0.46446631968094665,37.27,58.84,80,"[87, 82, 77, 82, 80]",False,54,-3,down
TITAN,Consumer Durables,4849.7,0.4621968772699385,10.96,21.73,80,"[76, 75, 73, 77, 80]",False,55,8,up
TVSMOTOR,Automobile and Auto Components,3993.5,0.4599793841558901,14.33,12.32,79,"[75, 78, 78, 75, 79]",False,56,14,up
CARTRADE,Consumer Services,2962.7,0.4615844670155116,82.5,16.56,79,"[81, 83, 74, 79, 79]",False,57,0,stable
BAJAJ-AUTO,Automobile and Auto Components,11374.0,0.45398925448854155,15.41,21.51,78,"[65, 74, 75, 78, 78]",False,58,3,up
CCL,Fast Moving Consumer Goods,1188.2,0.4502254244946129,4.68,24.27,78,"[78, 79, 80, 79, 78]",False,59,-1,down
ASTERDM,Healthcare,813.5,0.4481957995388943,16.04,47.43,78,"[78, 74, 72, 77, 78]",False,60,2,up
USHAMART,Capital Goods,512.3,0.44296884411783544,13.39,25.09,77,"[71, 72, 72, 75, 77]",False,61,8,up
BSE,Financial Services,3457.8,0.443304825911059,-4.77,25.56,77,"[82, 80, 79, 80, 77]",False,62,-6,down
MANAPPURAM,Financial Services,361.25,0.43231415337414325,22.92,22.82,77,"[70, 68, 69, 77, 77]",False,63,1,up
